
a2ps.rb                         :_: "Any-to-PostScript filter"
cctools.rb                      :_: "Binary and cross-compilation tools for Apple"

ccze.rb                         :_: "Robust and modular log colorizer"

cd-discid.rb                    :_: "Read CD and get CDDB discid information"

cdargs.rb                       :_: "Bookmarks for the shell"

cdb.rb                          :_: "Create and read constant databases"

cdecl.rb                        :_: "Turn English phrases to C or C++ declarations"

cdiff.rb                        :_: "View colored diff with side by side and auto pager support"

cdk.rb                          :_: "Curses development kit provides predefined curses widget for apps"

cdlabelgen.rb                   :_: "CD/DVD inserts and envelopes"

cdparanoia.rb                   :_: "Audio extraction tool for sampling CDs"

cdpr.rb                         :_: "Cisco Discovery Protocol Reporter"

cdrdao.rb                       :_: "Record CDs in Disk-At-Once mode"

cdrtools.rb                     :_: "CD/DVD/Blu-ray premastering and recording software"

center-im.rb                    :_: "Text-mode multi-protocol instant messaging client"

cereal.rb                       :_: "C++11 library for serialization"

cern-ndiff.rb                   :_: "Numerical diff tool"

certbot.rb                      :_: "Tool to obtain certs from Let's Encrypt and autoenable HTTPS"

certigo.rb                      :_: "Utility to examine and validate certificates in a variety of formats"

certstrap.rb                    :_: "Tools to bootstrap CAs, certificate requests, and signed certificates"

ceylon.rb                       :_: "Programming language for writing large programs in teams"

cf.rb                           :_: "Filter to replace numeric timestamps with a formated date time"

cf4ocl.rb                       :_: "C Framework for OpenCL"

cfengine.rb                     :_: "Help manage and understand IT infrastructure"

cflow.rb                        :_: "Generate call graphs from C code"

cfr-decompiler.rb               :_: "Yet Another Java Decompiler."

cfssl.rb                        :_: "CloudFlare's PKI toolkit"

cfv.rb                          :_: "Test and create various files (e.g., .sfv, .csv, .crc., .torrent)"

cgal.rb                         :_: "CGAL: Computational Geometry Algorithm Library"

cgdb.rb                         :_: "Curses-based interface to the GNU Debugger"

cgrep.rb                        :_: "Context-aware grep for source code"

cgvg.rb                         :_: "Command-line source browsing tool"

chadwick.rb                     :_: "Tools for parsing Retrosheet MLB play-by-play files."

chaiscript.rb                   :_: "Easy to use embedded scripting language for C++"

chapel.rb                       :_: "Emerging programming language designed for parallel computing"

charm-tools.rb                  :_: "Tools for authoring and maintaining juju charms"

charm.rb                        :_: "Tool for managing Juju Charms"

chcase.rb                       :_: "Perl file-renaming script"

cheat.rb                        :_: "Create and view interactive cheat sheets for *nix commands"

check.rb                        :_: "C unit testing framework"

check_postgres.rb               :_: "Monitor Postgres databases"

checkbashisms.rb                :_: "Checks for bashisms in shell scripts"

checkstyle.rb                   :_: "Check Java source against a coding standard"

cherokee.rb                     :_: "Modern, user friendly web server"

chgems.rb                       :_: "chroot for Ruby gems"

chibi-scheme.rb                 :_: "Small footprint Scheme for use as a C Extension Language"

chicken.rb                      :_: "Compiler for the Scheme programming language"

chinadns-c.rb                   :_: "Port of ChinaDNS to C: fix irregularities with DNS in China"

chipmunk.rb                     :_: "2D rigid body physics library written in C"

chisel.rb                       :_: "Collection of LLDB commands to assist debugging iOS apps"

chkrootkit.rb                   :_: "Rootkit detector"

chmlib.rb                       :_: "Library for dealing with Microsoft ITSS/CHM files"

choose-gui.rb                   :_: "Fuzzy matcher that uses std{in,out} and a native GUI"

choose.rb                       :_: "Make choices on the command-line"

chordii.rb                      :_: "Text file to music sheet converter"

chromaprint.rb                  :_: "Core component of the AcoustID project (Audio fingerprinting)"

chrome-cli.rb                   :_: "Control Google Chrome from the command-line"

chromedriver.rb                 :_: "Tool for automated testing of webapps across many browsers"

chruby-fish.rb                  :_: "Thin wrapper around chruby to make it work with the Fish shell"

chruby.rb                       :_: "Ruby environment tool"

chuck.rb                        :_: "Concurrent, on-the-fly audio programming language"

cidrmerge.rb                    :_: "CIDR merging with white listing (network exclusion)"

cifer.rb                        :_: "Work on automating classical cipher cracking in C"

cig.rb                          :_: "CLI app for checking the state of your git repositories"

cimg.rb                         :_: "C++ toolkit for image processing"

citus.rb                        :_: "PostgreSQL-based distributed RDBMS"

cityhash.rb                     :_: "Hash functions for strings"

civl.rb                         :_: "The Concurrency Intermediate Verification Language"

cjdns.rb                        :_: "Advanced mesh routing system with cryptographic addressing"

cksfv.rb                        :_: "File verification utility"

clamav.rb                       :_: "Anti-virus software"

clamz.rb                        :_: "Download MP3 files from Amazon's music store"

clang-format.rb                 :_: "Formatting tools for C, C++, Obj-C, Java, JavaScript, TypeScript"

clasp.rb                        :_: "Answer set solver for (extended) normal logic programs"

classads.rb                     :_: "Classified Advertisements (used by HTCondor Central Manager)"

clean.rb                        :_: "Search for files matching a regex and delete them"

clearlooks-phenix.rb            :_: "GTK+3 port of the Clearlooks Theme"

clens.rb                        :_: "Library to help port code from OpenBSD to other operating systems"

cless.rb                        :_: "Display file contents with colorized syntax highlighting"

clhep.rb                        :_: "Class Library for High Energy Physics"

cli53.rb                        :_: "command-line tool for Amazon Route 53"

clib.rb                         :_: "Package manager for C programming"

cliclick.rb                     :_: "Tool for emulating mouse and keyboard events"

clipper.rb                      :_: "Share macOS clipboard with tmux and other local and remote apps"

clipsafe.rb                     :_: "Command-line interface to Password Safe"

clisp.rb                        :_: "GNU CLISP, a Common Lisp implementation"

cln.rb                          :_: "Class Library for Numbers"
